Iteration,MuTheta,Lambda2,Sig2Gamma,MuGamma,beta,Sig2Theta,CovThetaGamma,R2,rmse,intercept
10001,-0.2596,0.0332,0.0172,-0.2327,0.7715,0.043491178,0.013306755,0.236039637,0.182278733,-0.080077187
10101,-0.2815,0.00684,0.0341,-0.2754,0.6493,0.021223115,0.022149352,0.677659395,0.082710772,-0.102705758
10201,-0.4083,0.0373,0.0254,-0.2417,1.2415,0.076389168,0.031513674,0.512150058,0.193045205,-0.108283166
10301,-0.2965,0.0571,0.0171,-0.2405,0.2099,0.057810084,0.003583762,0.013013954,0.238867634,-0.246008007
10401,-0.2676,0.0196,0.016,-0.2847,0.4759,0.023246885,0.00763283,0.156271037,0.140050242,-0.132129277
10501,-0.2653,0.022,0.0219,-0.2619,1.0678,0.047017666,0.023416016,0.531784335,0.148372531,0.0143413
10601,-0.3076,0.00765,0.034,-0.2979,1.1834,0.055235816,0.040206625,0.861419238,0.087490693,0.04500273
10701,-0.3305,0.0208,0.0115,-0.2362,0.108,0.020915699,0.001243721,0.006421611,0.144157506,-0.305018598
10801,-0.3359,0.0123,0.0275,-0.2486,1.8099,0.102358075,0.049746773,0.879618807,0.111004447,0.11399387
10901,-0.3999,0.0231,0.0199,-0.2712,1.055,0.045248211,0.020972353,0.488986098,0.152060728,-0.113731108
11001,-0.2543,0.022,0.0169,-0.2124,0.9708,0.037988838,0.016440522,0.420145574,0.148418313,-0.048066358
11101,-0.2151,0.0441,0.0223,-0.2359,1.0538,0.06887242,0.023502035,0.359607817,0.21001276,0.03351181
11201,-0.2486,0.0312,0.0305,-0.2097,0.6175,0.042789835,0.018818823,0.271572562,0.176548265,-0.119061526
11301,-0.3705,0.0404,0.0333,-0.3069,0.7121,0.057343635,0.023735816,0.294766134,0.201098666,-0.151987731
11401,-0.2872,0.034,0.0238,-0.2307,1.3574,0.077936808,0.032356014,0.563550217,0.184432922,0.025873978
11501,-0.2607,0.00393,0.0173,-0.2435,0.8876,0.017567662,0.015364977,0.776323862,0.062685458,-0.044610135
11601,-0.2251,0.0246,0.0157,-0.2141,0.4996,0.028522489,0.007832368,0.137183188,0.156874737,-0.118121346
11701,-0.3335,0.0172,0.0233,-0.236,0.5269,0.023676994,0.012259618,0.272803638,0.131216707,-0.209128602
11801,-0.3684,0.031,0.0151,-0.2496,1.4857,0.064420631,0.022491346,0.51869159,0.176085751,0.002422335
11901,-0.314,0.0258,0.0294,-0.279,0.6731,0.03910621,0.019811728,0.341006815,0.160532632,-0.126257681
12001,-0.2156,0.0133,0.0165,-0.2521,0.9914,0.0294659,0.016319539,0.5490812,0.115268072,0.034308458
12101,-0.2699,0.0229,0.0244,-0.2261,0.9217,0.043630402,0.022468963,0.474676352,0.151393797,-0.061483987
12201,-0.2857,0.0101,0.0241,-0.2566,0.6509,0.020302878,0.015701037,0.50335844,0.100415403,-0.118695372
12301,-0.2551,0.0224,0.0248,-0.2497,0.7041,0.034665313,0.017438972,0.354193064,0.149623191,-0.079264121
12401,-0.2639,0.00653,0.0269,-0.2448,0.4365,0.01165999,0.011743681,0.43964528,0.080831493,-0.157056441
12501,-0.4198,0.0432,0.0113,-0.2728,1.1315,0.057604949,0.012749545,0.25043196,0.207795161,-0.111119556
12601,-0.1949,0.0108,0.0175,-0.2257,1.4371,0.046826592,0.025094193,0.770147539,0.103745879,0.129447591
12701,-0.3247,0.0147,0.0223,-0.2192,1.0261,0.038229838,0.022895926,0.614541134,0.121392052,-0.099794079
12801,-0.3766,0.0214,0.0234,-0.2184,0.5032,0.027304773,0.01179536,0.217364672,0.14618372,-0.266693765
